"Average",,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - engr.","eyy [1] - engr.","exy [1] - engr.","e1 [1] - engr.","e2 [1] - engr.","gamma [1] - engr.","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
97,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.439318,0.280323,-0.593022,-0.0002304,0.000395908,-0.000100311,0.000666615,-0.000501107,-0.851704,0.000831625,0.00833106,10.0261,10.0178
98,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.440779,0.283396,-0.594313,-0.000211347,0.000432935,-0.000132026,0.000708733,-0.000487146,-0.95385,0.000870386,0.00871937,10.0265,10.0178
99,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.43964,0.278897,-0.593416,-0.000265431,0.000385674,-0.000136188,0.000673706,-0.000553464,-0.83296,0.000858216,0.00859744,10.0264,10.0178
100,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.438839,0.279869,-0.597418,-0.000240503,0.000404155,-0.000144387,0.00070578,-0.000542127,-1.02582,0.000897644,0.00899243,10.0268,10.0178
101,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.439344,0.281341,-0.600439,-0.000275629,0.000406938,-0.000125363,0.000712922,-0.000581613,-0.903853,0.000904955,0.00906567,10.0269,10.0178
102,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.442364,0.284361,-0.59868,-0.000247666,0.000388015,-0.00015198,0.000707616,-0.000567267,-0.964692,0.000905758,0.00907372,10.0269,10.0178
103,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.442474,0.284272,-0.596631,-0.000268604,0.00041781,-0.00013278,0.000740265,-0.000591059,-0.792124,0.000946543,0.00948229,10.0273,10.0178
104,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.443597,0.285157,-0.600289,-0.000264976,0.00039001,-0.000161869,0.000748668,-0.000623634,-0.864003,0.000937735,0.00939405,10.0272,10.0178
105,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.442685,0.287343,-0.601397,-0.000269789,0.000403375,-0.000161424,0.000761515,-0.00062793,-0.884477,0.00094849,0.00950179,10.0273,10.0178
106,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.443552,0.286563,-0.60316,-0.000263743,0.000406399,-0.000189301,0.000773892,-0.000631237,-1.01189,0.000967029,0.00968751,10.0275,10.0178
107,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.443079,0.288093,-0.598773,-0.000293952,0.000404024,-0.000157649,0.000764623,-0.00065455,-0.932907,0.000975628,0.00977365,10.0276,10.0178
108,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.443983,0.289198,-0.604383,-0.000277811,0.000415421,-0.000153364,0.000799851,-0.000662241,-0.855916,0.00100368,0.0100547,10.0279,10.0178
109,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.443044,0.290971,-0.603349,-0.000306984,0.000416635,-0.000148103,0.000807929,-0.000698278,-0.934521,0.000999688,0.0100147,10.0278,10.0178
110,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.442105,0.290648,-0.607422,-0.000278891,0.000408031,-0.000181691,0.000810208,-0.000681068,-0.949069,0.000999095,0.0100087,10.0278,10.0178
111,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.444407,0.293977,-0.609139,-0.000304652,0.000420429,-0.000150191,0.000840786,-0.000725009,-0.724789,0.00104443,0.0104629,10.0283,10.0178
112,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.444064,0.296412,-0.608454,-0.000313356,0.000410903,-0.000173905,0.000826141,-0.000728594,-0.818789,0.00103821,0.0104006,10.0282,10.0178
113,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.446656,0.295213,-0.606353,-0.000309447,0.000402564,-0.000179074,0.000837269,-0.000744152,-0.932894,0.00106014,0.0106203,10.0284,10.0178
114,2.73757e-11,-4.87827e-09,-3.70722e-12,-0.445949,0.300363,-0.6095,-0.00030422,0.000401198,-0.000184633,0.000866508,-0.000769529,-0.839348,0.00109476,0.0109671,10.0288,10.0178
